//X,Y,Z,R,G,B,Point Source ID,User Data,Time,Classification
440496.27999451,4464174.18000977,12.14000034,255,244,0,2.000000,4.000000,373115.437500,1.000000
440494.65999939,4464180.94999878,12.98999977,255,207,0,2.000000,3.000000,373111.531250,1.000000
440498.36999084,4464179.81999390,12.42000008,255,231,0,3.000000,29.000000,373164.562500,1.000000
440494.69999268,4464174.64000122,13.26000023,255,195,0,2.000000,29.000000,373109.343750,1.000000
440495.96999695,4464173.86000244,11.96000004,255,252,0,2.000000,17.000000,373112.343750,1.000000
440498.67998840,4464174.46998779,12.30000019,255,237,0,2.000000,4.000000,373115.843750,1.000000
440496.94999268,4464173.86000244,12.21000004,255,241,0,3.000000,7.000000,373166.187500,1.000000
440495.72999146,4464174.52998535,13.39999962,255,189,0,3.000000,28.000000,373168.687500,1.000000
440494.16999390,4464180.64000122,13.27000046,255,195,0,2.000000,13.000000,373109.125000,1.000000
440496.88999512,4464179.52000610,13.18999958,255,198,0,2.000000,13.000000,373109.750000,1.000000
440497.54999878,4464176.97999756,12.89999962,255,211,0,2.000000,27.000000,373110.250000,1.000000
440498.38000061,4464180.71998779,12.52999973,255,227,0,2.000000,9.000000,373110.937500,1.000000
440498.46999695,4464176.64000122,12.92000008,255,210,0,2.000000,23.000000,373111.343750,1.000000
440498.60999634,4464179.77000610,12.97999954,255,207,0,2.000000,21.000000,373111.937500,1.000000
440496.05999329,4464174.65001099,12.32999992,255,236,0,2.000000,1.000000,373112.343750,1.000000
440494.47999146,4464180.84001343,13.36999989,255,191,0,2.000000,12.000000,373112.937500,1.000000
440497.24000122,4464177.27000610,12.50000000,255,228,0,2.000000,28.000000,373113.531250,1.000000
440494.77000000,4464174.96998779,12.13000011,255,244,0,2.000000,24.000000,373114.156250,1.000000
440496.85999634,4464177.89000122,12.64999962,255,222,0,2.000000,22.000000,373114.750000,1.000000
440496.82999756,4464176.77998535,12.17000008,255,243,0,2.000000,4.000000,373115.437500,1.000000
440499.13999512,4464181.22999756,12.68999958,255,220,0,3.000000,13.000000,373164.375000,1.000000
440495.38999512,4464181.02000610,13.31999969,255,193,0,3.000000,29.000000,373165.062500,1.000000
440496.58999207,4464175.34999268,12.38000011,255,234,0,3.000000,9.000000,373165.875000,1.000000
440498.71999695,4464179.65001099,12.56999969,255,225,0,3.000000,19.000000,373166.468750,1.000000
440498.42998840,4464177.64000122,12.59000015,255,225,0,3.000000,17.000000,373167.187500,1.000000
440498.46999695,4464176.34001343,12.55000019,255,226,0,3.000000,14.000000,373167.781250,1.000000
440497.60000183,4464176.50999634,12.35999966,255,234,0,3.000000,28.000000,373168.375000,1.000000
440498.28998901,4464176.09001343,12.52999973,255,227,0,3.000000,24.000000,373169.187500,1.000000
440495.00999023,4464180.90001099,12.81000042,255,215,0,3.000000,24.000000,373169.781250,1.000000
440497.42998840,4464179.86000244,13.22000027,255,198,0,3.000000,4.000000,373170.593750,1.000000
440493.24000122,4464179.81999390,7.55999994,69,255,0,2.000000,23.000000,373110.250000,1.000000
440493.36999084,4464180.81001465,7.65000010,73,255,0,2.000000,14.000000,373112.250000,1.000000
440491.88999512,4464176.14000122,7.78000021,78,255,0,3.000000,19.000000,373168.062500,1.000000
440499.07999756,4464184.24000732,7.90000010,83,255,0,2.000000,25.000000,373110.937500,1.000000
440497.11999084,4464184.52000610,7.63999987,72,255,0,2.000000,3.000000,373112.031250,1.000000
